Tunniste;lat;lon
1.2.246.10.10086004.10.0;62.5757;22.77616
1.2.246.10.10086004.10.1;62.5757;22.77616
1.2.246.10.10087103.10.0;60.99595;25.70102
1.2.246.10.10087277.10.0;62.27004;26.19337
1.2.246.10.10087277.10.1;62.27004;26.19337
1.2.246.10.10087680.10.0;62.29932;27.16393
1.2.246.10.10087680.10.1;62.3035543;27.1728977
1.2.246.10.10087680.10.2;62.01879;27.21157
1.2.246.10.10087680.10.3;62.29932;27.16393
1.2.246.10.10087947.10.0;60.24364;24.86279
1.2.246.10.10087947.10.1;60.24498;24.86429
1.2.246.10.10087947.10.2;60.24364;24.86279
1.2.246.10.10092615.10.0;60.21824;25.13009
1.2.246.10.10092615.10.1;60.16531;24.93874
1.2.246.10.10094709.10.0;61.48188;21.79383
1.2.246.10.10094709.10.1;61.48178;21.79829
1.2.246.10.10094709.10.2;68.38591;23.60543
1.2.246.10.10094709.10.3;61.48328;21.79679
1.2.246.10.10100443.10.0;62.64574;29.80467
1.2.246.10.10100443.10.1;62.4163;29.59313
1.2.246.10.10100443.10.2;62.4163;29.59313
1.2.246.10.10100793.10.0;60.29285;25.03697
1.2.246.10.10100793.10.1;60.15854;24.87647
1.2.246.10.10100793.10.2;61.17947;28.78106
1.2.246.10.10100793.10.3;60.88831;26.34012
1.2.246.10.10100793.10.4;60.29285;25.03697
1.2.246.10.10100793.10.5;60.1805;24.94927
1.2.246.10.10100793.10.6;60.20537;24.87957
1.2.246.10.10100793.10.7;60.17743;24.92327
1.2.246.10.10100793.10.8;60.29257;25.04369
1.2.246.10.10100793.10.9;60.3069;24.96076
1.2.246.10.10102254.10.0;62.60368;25.72574
1.2.246.10.10102254.10.1;62.60368;25.72574
1.2.246.10.10102465.10.0;61.46369;23.41389
1.2.246.10.10102465.10.1;61.46369;23.41389
1.2.246.10.10106351.10.0;63.36273;23.54708
1.2.246.10.10106351.10.1;62.80735;23.50569
1.2.246.10.10107493.10.0;60.43924;22.29803
1.2.246.10.10107493.10.1;60.45079;22.25649
1.2.246.10.10107493.10.2;60.45205;22.26906
1.2.246.10.10108058.10.0;61.00643;24.47044
1.2.246.10.10108058.10.1;60.99656;24.46331
1.2.246.10.10108621.10.0;60.18116;24.95556
1.2.246.10.10108621.10.1;60.18156;24.95535
1.2.246.10.10108621.10.2;60.18116;24.95556
1.2.246.10.10109755.10.0;62.8921415;27.6703807
1.2.246.10.10109755.10.1;62.8921415;27.6703807
1.2.246.10.1011203.10.0;60.17015;24.82852
1.2.246.10.1011203.10.1;64.99509;25.45491
1.2.246.10.1011203.10.2;65.01292;25.51106
1.2.246.10.1011203.10.3;65.05119;25.58369
1.2.246.10.10112102.10.0;60.45259;22.26291
1.2.246.10.10112102.10.1;60.45174;22.26435
1.2.246.10.10112102.10.2;60.45259;22.26291
1.2.246.10.10113703.10.0;60.16907;24.93732
1.2.246.10.10113703.10.1;60.16907;24.93732
1.2.246.10.10113922.10.0;60.16118;24.91996
1.2.246.10.10113922.10.1;60.16118;24.91996
1.2.246.10.10118010.10.0;63.06987;27.70323
1.2.246.10.10118010.10.1;63.06987;27.70323
1.2.246.10.10121500.10.0;60.32889;25.0521
1.2.246.10.10121500.10.1;60.32889;25.0521
1.2.246.10.10123709.10.0;60.19939;24.89934
